Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
670-0C,0,0.125,0.125,0.125,0,0,0.125,,1288,6.25,10/07/24,Call
680-0C,0,0.125,0.125,0.125,0,0,0.125,,723,6.25,10/07/24,Call
690-0C,0,0.125,0.125,0.125,0,0,0.125,,3036,6.25,10/07/24,Call
700-0C,0,0.125,0.125,0.125,0,0,0.125,,1985,6.25,10/07/24,Call
710-0C,0,0.125,0.125,0.125,0,0,0.125,,1094,6.25,10/07/24,Call
720-0C,0,0.125,0.125,0.125,0,0,0.125,,453,6.25,10/07/24,Call
730-0C,0,0.125,0.125,0.125,0,0,0.125,,326,6.25,10/07/24,Call
740-0C,0,0.125,0.125,0.125,0,0,0.125,,307,6.25,10/07/24,Call
750-0C,0,0.125,0.125,0.125,0,0,0.125,,365,6.25,10/07/24,Call
760-0C,0,0.125,0.125,0.125,0,0,0.125,,271,6.25,10/07/24,Call
770-0C,0,0.125,0.125,0.125,0,0,0.125,,266,6.25,10/07/24,Call
780-0C,0,0.125,0.125,0.125,0,0,0.125,,117,6.25,10/07/24,Call
790-0C,0,0.125,0.125,0.125,0,0,0.125,,98,6.25,10/07/24,Call
800-0C,0,0.125,0.125,0.125,0,0,0.125,,1050,6.25,10/07/24,Call
810-0C,0,0.125,0.125,0.125,0,0,0.125,,229,6.25,10/07/24,Call
820-0C,0,0.125,0.125,0.125,0,0,0.125,,1538,6.25,10/07/24,Call
830-0C,0,0.125,0.125,0.125,0,0,0.125,,153,6.25,10/07/24,Call
840-0C,0,0.125,0.125,0.125,0,0,0.125,,254,6.25,10/07/24,Call
850-0C,0,0.125,0.125,0.125,0,0,0.125,,1948,6.25,10/07/24,Call
860-0C,0,0.125,0.125,0.125,0,0,0.125,,37,6.25,10/07/24,Call
870-0C,0,0.125,0.125,0.125,0,0,0.02,,286,6.25,10/07/24,Call
880-0C,0,0.125,0.125,0.125,0,0,0.02,,315,6.25,10/07/24,Call
890-0C,0,0.125,0.125,0.125,0,0,0.02,,23,6.25,10/07/24,Call
900-0C,0,0.125,0.125,0.125,0,0,0.02,,3819,6.25,10/07/24,Call
1000-0C,0,0.125,0.125,0.125,0,0,0.02,,1060,6.25,10/07/24,Call
1250-0C,0,0.125,0.125,0.125,0,0,0.02,,516,6.25,10/07/24,Call
200-0P,0,0.125,0.125,0.125,0,0,0.02,,5,6.25,10/07/24,Put
210-0P,0,0.125,0.125,0.125,0,0,0.02,,,6.25,10/07/24,Put
220-0P,0,0.125,0.125,0.125,0,0,0.02,,,6.25,10/07/24,Put
230-0P,0,0.125,0.125,0.125,0,0,0.125,,,6.25,10/07/24,Put
240-0P,0,0.125,0.125,0.125,0,0,0.125,,,6.25,10/07/24,Put
250-0P,0,0.125,0.125,0.125,0,0,0.125,,3255,6.25,10/07/24,Put
260-0P,0,0.125,0.125,0.125,0,0,0.125,,,6.25,10/07/24,Put
270-0P,0,0.125,0.125,0.125,0,0,0.125,,481,6.25,10/07/24,Put
280-0P,0,0.125,0.125,0.125,0,0,0.125,,,6.25,10/07/24,Put
290-0P,0,0.125,0.125,0.125,0,0,0.125,,972,6.25,10/07/24,Put
295-0P,0,0.125,0.125,0.125,0,0,0.125,,,6.25,10/07/24,Put
300-0P,0,0.125,0.125,0.125,0,0,0.125,,2363,6.25,10/07/24,Put
305-0P,0,0.125,0.125,0.125,0,0.02,0.125,,,6.25,10/07/24,Put
310-0P,0,0.125,0.125,0.125,0,0.02,0.125,,1981,6.25,10/07/24,Put
315-0P,0,0.125,0.125,0.125,0,0.02,0.125,,100,6.25,10/07/24,Put
320-0P,0,0.125,0.125,0.125,0,0.02,0.125,100,4121,6.25,10/07/24,Put
325-0P,0,0.125,0.125,0.125,0,0.02,0.125,,160,6.25,10/07/24,Put
330-0P,0,0.125,0.125,0.125,0,0.02,0.25,1000,4885,6.25,10/07/24,Put
335-0P,0,0.125,0.125,0.125,0,0.125,0.25,,497,6.25,10/07/24,Put
340-0P,0.25,0.25,0.125,0.125,0,0.125,0.25,2,3268,6.25,10/07/24,Put
345-0P,0,0.125,0.125,0.125,0,0.125,0.25,,567,6.25,10/07/24,Put
350-0P,0,0.25,0.25,0.25,0,0.125,0.375,,18438,12.5,10/07/24,Put
355-0P,0.25,0.25,0.25,0.25,0,0.25,0.375,340,1085,12.5,10/07/24,Put
360-0P,0.375,0.375,0.375,0.375,0.125,0.25,0.5,1105,7644,18.75,"10:27 ET",Put
365-0P,0,0.375,0.375,0.375,0,0.375,0.5,8,1657,18.75,10/07/24,Put
370-0P,0.5,0.5,0.375,0.375,-0.125,0.5,0.625,29,10110,18.75,10/07/24,Put
375-0P,0.625,0.625,0.625,0.625,0.125,0.625,0.75,205,2004,31.25,"09:08 ET",Put
380-0P,0.625,1,0.625,1,0.25,0.875,1,244,12807,50,"11:56 ET",Put
385-0P,1.25,1.25,1.25,1.25,0.375,1.125,1.25,1511,5699,62.5,"10:25 ET",Put
390-0P,1.25,1.75,1.25,1.625,0.375,1.5,1.75,1084,14548,81.25,"12:17 ET",Put
395-0P,2.125,2.5,2.125,2.5,0.875,2.125,2.375,146,4776,125,"12:01 ET",Put
400-0P,2.125,3.5,2.125,3,0.75,3,3.25,4214,31300,150,"12:18 ET",Put
405-0P,3.625,4.5,3.375,4.5,1.25,4.125,4.375,255,6822,225,"11:09 ET",Put
410-0P,4.125,6.375,4.125,5.625,1.25,5.75,5.875,1663,26393,281.25,"12:25 ET",Put
415-0P,6.75,8.125,6.75,7.75,1.75,7.625,7.875,2691,10210,387.5,"12:12 ET",Put
420-0P,8.625,10.875,8.25,10.875,2.875,10,10.25,1141,17584,543.75,"12:04 ET",Put
425-0P,11.125,12,10.625,12,1.625,12.625,13,380,2285,600,"09:41 ET",Put
430-0P,14,17,13.375,17,3.875,15.75,16,162,10592,850,"12:07 ET",Put
435-0P,18.5,19.375,18.5,19.375,3.125,19.25,19.5,105,634,968.75,"12:11 ET",Put
440-0P,21.75,22.625,21.75,22.625,3,23,23.25,208,14584,1131.25,"10:00 ET",Put
445-0P,26.25,26.25,26.25,26.25,2.875,27,27.25,10,188,1312.5,"05:00 ET",Put
450-0P,29.875,32.75,29.5,32.75,5.375,31.25,31.5,17,12920,1637.5,"11:48 ET",Put
455-0P,0,31.625,31.625,31.625,-1.375,35.625,35.875,,12,1581.25,10/07/24,Put
460-0P,38.25,38.5,38.25,38.5,2.375,40.125,40.5,10,5145,1925,"08:58 ET",Put
465-0P,0,40.625,40.625,40.625,-1.375,44.75,45.125,,,2031.25,10/07/24,Put
470-0P,47.875,50.75,47.875,50.75,5.5,49.5,49.875,16,11428,2537.5,"11:44 ET",Put
475-0P,0,50,50,50,-1.375,54.25,54.625,,,2500,10/07/24,Put
480-0P,57,59.25,57,59.25,4.5,59.125,59.5,185,6340,2962.5,"10:27 ET",Put
485-0P,0,59.625,59.625,59.625,-1.375,64,64.375,,,2981.25,10/07/24,Put
490-0P,0,64.5,64.5,64.5,-1.25,67.875,69.75,,2470,3225,10/07/24,Put
495-0P,0,69.375,69.375,69.375,-1.375,73.25,74.75,,20,3468.75,10/07/24,Put
500-0P,74.5,74.5,74.25,74.25,-1.375,78.125,79.625,2,8741,3712.5,10/07/24,Put
505-0P,0,79.25,79.25,79.25,-1.25,83,84.625,,,3962.5,10/07/24,Put
510-0P,0,84.125,84.125,84.125,-1.375,87.875,89.375,,1228,4206.25,10/07/24,Put
515-0P,0,89.125,89.125,89.125,-1.25,92.375,94.25,,,4456.25,10/07/24,Put
520-0P,0,94.125,94.125,94.125,-1.25,98.125,99.5,,970,4706.25,10/07/24,Put
525-0P,0,99.125,99.125,99.125,-1.25,102.375,104.125,,,4956.25,10/07/24,Put
530-0P,0,104,104,104,-1.25,107.875,109.25,6,374,5200,10/07/24,Put
535-0P,0,109,109,109,-1.25,112.875,114,,,5450,10/07/24,Put
540-0P,0,114,114,114,-1.25,117.75,119.25,,210,5700,10/07/24,Put
550-0P,0,124,124,124,-1.25,127.625,130.125,,343,6200,10/07/24,Put
560-0P,139,139,139,139,5,137.25,139.875,4,26,6950,"11:03 ET",Put
570-0P,0,144,144,144,-1.25,147.25,149.875,,11,7200,10/07/24,Put
580-0P,0,154,154,154,-1.25,157.125,159.75,,1,7700,10/07/24,Put
590-0P,0,164,164,164,-1.25,167.125,169.875,,10,8200,10/07/24,Put
600-0P,0,174,174,174,-1.25,177.125,179.75,,9,8700,10/07/24,Put
610-0P,0,184,184,184,-1.25,187.125,189.75,,20,9200,10/07/24,Put
620-0P,0,194,194,194,-1.25,198.125,199.25,,,9700,10/07/24,Put
630-0P,0,204,204,204,-1.25,208.125,209.25,,6,10200,10/07/24,Put
640-0P,0,214,214,214,-1.25,218.125,219.375,,3,10700,10/07/24,Put
650-0P,0,224,224,224,-1.25,227.125,230,,,11200,10/07/24,Put
660-0P,0,234,234,234,-1.25,237,239.875,,,11700,10/07/24,Put
670-0P,0,244,244,244,-1.25,248.125,249.375,,2,12200,10/07/24,Put
680-0P,0,254,254,254,-1.25,258.125,259.375,,1,12700,10/07/24,Put
690-0P,0,264,264,264,-1.25,268.125,269.375,,1,13200,10/07/24,Put
700-0P,0,274,274,274,-1.25,278.125,279.25,,,13700,10/07/24,Put
710-0P,0,284,284,284,-1.25,288.125,289.375,,,14200,10/07/24,Put
720-0P,0,294,294,294,-1.25,297.875,299.375,,2,14700,10/07/24,Put
730-0P,0,304,304,304,-1.25,308.125,309.375,,,15200,10/07/24,Put
740-0P,0,314,314,314,-1.25,316.875,320,,,15700,10/07/24,Put
750-0P,0,324,324,324,-1.25,328.125,329.375,,,16200,10/07/24,Put
760-0P,0,334,334,334,-1.25,338.125,339.375,,,16700,10/07/24,Put
770-0P,0,344,344,344,-1.25,348.125,349.25,,,17200,10/07/24,Put
780-0P,0,354,354,354,-1.25,358.125,359.375,,,17700,10/07/24,Put
790-0P,0,364,364,364,-1.25,368.125,369.375,,,18200,10/07/24,Put
800-0P,0,374,374,374,-1.25,378.125,379.375,,,18700,10/07/24,Put
810-0P,0,384,384,384,-1.25,388.125,389.375,,,19200,10/07/24,Put
820-0P,0,394,394,394,-1.25,398.125,399.375,,,19700,10/07/24,Put
830-0P,0,404,404,404,-1.25,408.125,409.375,,,20200,10/07/24,Put
840-0P,0,414,414,414,-1.25,418.125,419.375,,,20700,10/07/24,Put
850-0P,0,424,424,424,-1.25,428,429.375,,,21200,10/07/24,Put
860-0P,0,434,434,434,-1.25,438,439.375,,,21700,10/07/24,Put
870-0P,0,444,444,444,-1.25,448,449.375,,,22200,10/07/24,Put
880-0P,0,454,454,454,-1.25,458,459.375,,,22700,10/07/24,Put
890-0P,0,464,464,464,-1.25,468,469.375,,,23200,10/07/24,Put
900-0P,0,474,474,474,-1.25,478,479.375,,,23700,10/07/24,Put
1000-0P,0,574,574,574,-1.25,578,579.375,,,28700,10/07/24,Put
1250-0P,0,824,824,824,-1.25,827.75,829.625,,,41200,10/07/24,Put
"Downloaded from Barchart.com as of 10-08-2024 12:41pm CDT"
