Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
430-0C,0,43.375,43.375,43.375,1.375,41.75,42.5,,366,2168.75,10/07/24,Call
440-0C,38.25,38.5,38.5,38.5,1.25,37.125,37.75,,1019,1925,10/07/24,Call
450-0C,33.375,33.375,33.375,33.375,-0.625,32.875,33.5,1,934,1668.75,"08:59 ET",Call
460-0C,0,30,30,30,0.875,29,29.625,40,512,1500,10/07/24,Call
470-0C,26.125,26.5,26.5,26.5,0.875,25.625,26.25,1350,1602,1325,10/07/24,Call
480-0C,0,23.375,23.375,23.375,0.75,22.625,23.125,,353,1168.75,10/07/24,Call
490-0C,19.75,20.625,19.75,20.625,0.75,19.875,20.5,95,344,1031.25,10/07/24,Call
500-0C,18,18,18,18,-0.125,17.5,18.125,2,980,900,"08:59 ET",Call
510-0C,16,16,16,16,0.5,15.5,16,41,441,800,10/07/24,Call
520-0C,0,14.125,14.125,14.125,0.375,13.625,14.25,10,292,706.25,10/07/24,Call
530-0C,0,12.5,12.5,12.5,0.375,12.125,12.5,,275,625,10/07/24,Call
540-0C,10.625,10.625,10.625,10.625,-0.5,10.75,11.25,1,216,531.25,"09:46 ET",Call
550-0C,0,9.875,9.875,9.875,0.25,9.5,10,1,598,493.75,10/07/24,Call
560-0C,0,8.875,8.875,8.875,0.25,8.5,9,,239,443.75,10/07/24,Call
570-0C,0,7.875,7.875,7.875,0.125,7.625,8,,66,393.75,10/07/24,Call
580-0C,0,7.125,7.125,7.125,0.25,6.875,7.25,,74,356.25,10/07/24,Call
590-0C,0,6.375,6.375,6.375,0.125,6.125,6.5,60,162,318.75,10/07/24,Call
600-0C,0,5.75,5.75,5.75,0.125,5.5,5.875,,152,287.5,10/07/24,Call
610-0C,4.875,5.25,4.875,5.25,0.125,5,5.375,10,206,262.5,10/07/24,Call
620-0C,0,4.75,4.75,4.75,0.125,4.5,4.875,,6,237.5,10/07/24,Call
630-0C,0,4.375,4.375,4.375,0.125,4.125,4.5,,23,218.75,10/07/24,Call
640-0C,0,3.875,3.875,3.875,0,3.75,4.125,,,193.75,10/07/24,Call
650-0C,0,3.625,3.625,3.625,0.125,3.375,3.75,,71,181.25,10/07/24,Call
660-0C,0,3.25,3.25,3.25,0,3.125,3.5,,,162.5,10/07/24,Call
670-0C,0,3,3,3,0,2.875,3.125,,,150,10/07/24,Call
680-0C,0,2.75,2.75,2.75,0,2.625,2.875,,,137.5,10/07/24,Call
690-0C,0,2.625,2.625,2.625,0.125,2.375,2.75,,,131.25,10/07/24,Call
700-0C,0,2.375,2.375,2.375,0,2.25,2.5,,15,118.75,10/07/24,Call
710-0C,0,2.25,2.25,2.25,0.125,2.125,2.375,,,112.5,10/07/24,Call
720-0C,0,2.125,2.125,2.125,0.125,1.875,2.125,,,106.25,10/07/24,Call
730-0C,0,2,2,2,0.125,1.75,2,,1,100,10/07/24,Call
740-0C,0,1.75,1.75,1.75,0,1.625,1.875,,15,87.5,10/07/24,Call
750-0C,0,1.625,1.625,1.625,0,1.5,1.75,,150,81.25,10/07/24,Call
210-0P,0,0.125,0.125,0.125,0,0,0.25,,,6.25,10/07/24,Put
220-0P,0,0.125,0.125,0.125,0,0,0.25,,,6.25,10/07/24,Put
230-0P,0,0.125,0.125,0.125,0,0,0.25,,,6.25,10/07/24,Put
240-0P,0,0.125,0.125,0.125,0,0,0.25,,,6.25,10/07/24,Put
250-0P,0,0.125,0.125,0.125,0,0.02,0.375,,,6.25,10/07/24,Put
260-0P,0,0.125,0.125,0.125,0,0.125,0.375,,,6.25,10/07/24,Put
270-0P,0,0.25,0.25,0.25,0,0.125,0.5,,,12.5,10/07/24,Put
280-0P,0,0.375,0.375,0.375,0,0.25,0.5,,,18.75,10/07/24,Put
290-0P,0,0.5,0.5,0.5,0,0.375,0.625,,,25,10/07/24,Put
300-0P,0,0.625,0.625,0.625,0,0.5,0.875,,,31.25,10/07/24,Put
310-0P,0,0.875,0.875,0.875,0,0.75,1,,,43.75,10/07/24,Put
320-0P,0,1.125,1.125,1.125,-0.125,1,1.375,,,56.25,10/07/24,Put
330-0P,0,1.5,1.5,1.5,-0.125,1.375,1.75,,,75,10/07/24,Put
340-0P,0,2.125,2.125,2.125,0,2,2.375,,1,106.25,10/07/24,Put
350-0P,0,2.75,2.75,2.75,-0.25,2.75,3.25,,,137.5,10/07/24,Put
360-0P,0,3.875,3.875,3.875,-0.125,3.875,4.25,,,193.75,10/07/24,Put
370-0P,0,5.25,5.25,5.25,-0.25,5.25,5.75,60,164,262.5,10/07/24,Put
380-0P,0,7,7,7,-0.375,7.125,7.625,,1031,350,10/07/24,Put
390-0P,0,9.25,9.25,9.25,-0.375,9.375,10,41,411,462.5,10/07/24,Put
400-0P,12,12,12,12,-0.5,12.375,12.875,20,586,600,10/07/24,Put
410-0P,15.5,15.5,15.375,15.375,-0.5,15.75,16.25,41,254,768.75,10/07/24,Put
420-0P,0,19.25,19.25,19.25,-0.5,19.625,20.25,3,341,962.5,10/07/24,Put
430-0P,0,23.625,23.625,23.625,-0.625,24.125,24.625,,474,1181.25,10/07/24,Put
440-0P,0,28.5,28.5,28.5,-0.75,29.125,29.75,,783,1425,10/07/24,Put
450-0P,0,33.75,33.75,33.75,-0.875,34.5,35.125,145,458,1687.5,10/07/24,Put
460-0P,0,39.5,39.5,39.5,-1,40.375,41.125,,112,1975,10/07/24,Put
470-0P,0,45.75,45.75,45.75,-1.125,46.625,47.375,,10,2287.5,10/07/24,Put
480-0P,0,52.375,52.375,52.375,-1.25,53.125,54.375,,39,2618.75,10/07/24,Put
490-0P,0,59.375,59.375,59.375,-1.375,60.25,61.375,,,2968.75,10/07/24,Put
500-0P,0,66.75,66.75,66.75,-1.375,67.625,68.625,,12,3337.5,10/07/24,Put
510-0P,0,74.375,74.375,74.375,-1.5,75.25,76.375,,10,3718.75,10/07/24,Put
520-0P,0,82.25,82.25,82.25,-1.625,83.125,84.75,,,4112.5,10/07/24,Put
530-0P,0,90.5,90.5,90.5,-1.625,91.375,92.5,,,4525,10/07/24,Put
540-0P,0,99,99,99,-1.625,99.75,101,,,4950,10/07/24,Put
550-0P,0,107.625,107.625,107.625,-1.625,108.5,110.125,,,5381.25,10/07/24,Put
560-0P,0,116.375,116.375,116.375,-1.75,116.375,118.5,,,5818.75,10/07/24,Put
570-0P,0,125.375,125.375,125.375,-1.75,125.5,127.375,,,6268.75,10/07/24,Put
580-0P,0,134.375,134.375,134.375,-1.875,134.5,136.5,,,6718.75,10/07/24,Put
590-0P,0,143.625,143.625,143.625,-1.875,143.75,145.75,,1,7181.25,10/07/24,Put
600-0P,0,152.875,152.875,152.875,-2,153,155.125,,,7643.75,10/07/24,Put
610-0P,0,162.375,162.375,162.375,-1.875,162.5,164.5,,,8118.75,10/07/24,Put
620-0P,0,171.75,171.75,171.75,-2,171.875,174.125,,,8587.5,10/07/24,Put
630-0P,0,181.375,181.375,181.375,-1.875,181.5,183.75,,,9068.75,10/07/24,Put
640-0P,0,191,191,191,-1.875,191.125,193.375,,,9550,10/07/24,Put
650-0P,0,200.625,200.625,200.625,-2,200.875,203.25,,,10031.25,10/07/24,Put
660-0P,0,210.375,210.375,210.375,-2,210.625,213,,,10518.75,10/07/24,Put
670-0P,0,220.125,220.125,220.125,-2,220.5,222.875,,,11006.25,10/07/24,Put
680-0P,0,230,230,230,-2,230.375,232.875,,,11500,10/07/24,Put
690-0P,0,239.875,239.875,239.875,-2,240.375,242.875,,,11993.75,10/07/24,Put
700-0P,0,249.75,249.75,249.75,-2,250.375,252.75,,,12487.5,10/07/24,Put
710-0P,0,259.75,259.75,259.75,-2,260.375,262.875,,,12987.5,10/07/24,Put
720-0P,0,269.75,269.75,269.75,-2,270.375,272.875,,,13487.5,10/07/24,Put
730-0P,0,279.75,279.75,279.75,-2,280.375,282.875,,,13987.5,10/07/24,Put
740-0P,0,289.75,289.75,289.75,-2,290.25,292.875,,,14487.5,10/07/24,Put
750-0P,0,299.75,299.75,299.75,-2,300.125,302.875,,,14987.5,10/07/24,Put
"Downloaded from Barchart.com as of 10-08-2024 12:42pm CDT"
